date,gold,geom_ret,simple_ret,geom_idx,simple_idx
2025-02-02,2793.645,1.0,0.0,1.0,1.0
2025-02-03,2814.02,1.0072933389890268,0.007293338989026881,1.0072933389890268,1.0072933389890268
2025-02-04,2841.26,1.0096801017761068,0.009680101776106865,1.017044041028835,1.0169734407651339
2025-02-05,2869.24,1.0098477436067095,0.009847743606709545,1.0270596299816188,1.0268211843718433
2025-02-06,2858.04,0.9960965273033975,-0.0039034726966025216,1.023050530758203,1.0229177116752408
2025-02-07,2860.73,1.000941204461799,0.0009412044617990142,1.0240134304823982,1.0238589161370397
2025-02-09,2867.7,1.0024364410482638,0.002436441048263835,1.026508378838399,1.0262953571853035
2025-02-10,2917.96,1.0175262405412004,0.017526240541200343,1.0444992116034786,1.043821597726504
2025-02-11,2898.66,0.9933857900725164,-0.0066142099274836465,1.0375906745488421,1.0372073877990202
2025-02-12,2906.0,1.002532204535889,0.0025322045358890473,1.040218066361331,1.0397395923349093
2025-02-13,2931.25,1.0086889194769442,0.008688919476944253,1.0492564373784072,1.0484285118118537
2025-02-14,2883.36,0.9836622601279318,-0.016337739872068185,1.0321139586454258,1.0320907719397854
2025-02-16,2879.32,0.9985988568891848,-0.0014011431108151475,1.0306678192826935,1.0306896288289702
2025-02-17,2899.39,1.0069703957878942,0.006970395787894263,1.0378519819089396,1.0376600246168646
2025-02-18,2934.05,1.011954238650199,0.011954238650198942,1.050258712184261,1.0496142632670635
2025-02-19,2935.98,1.0006577938344607,0.0006577938344608429,1.0509495658897245,1.0502720571015243
2025-02-20,2941.65,1.0019312120654773,0.00193121206547731,1.052979172371579,1.0522032691670016
2025-02-21,2935.7,0.9979773256505702,-0.0020226743494298344,1.050849338409139,1.0501805948175718
2025-02-23,2936.93,1.0004189801410226,0.00041898014102259026,1.0512896234131393,1.0505995749585944
2025-02-24,2950.08,1.0044774645633365,0.004477464563336577,1.055996735447775,1.0550770395219309
2025-02-25,2918.5,0.9892952055537477,-0.01070479444625228,1.044692507458893,1.0443722450756787
2025-02-26,2919.35,1.0002912455028268,0.00029124550282676344,1.0449967694535274,1.0446634905785055
2025-02-27,2876.02,0.9851576549574392,-0.01484234504256082,1.0294865668329367,1.0298211455359447
2025-02-28,2857.6,0.9935953157488473,-0.00640468425115266,1.0228930304315684,1.023416461284792
2025-03-02,2871.23,1.0047697368421054,0.004769736842105301,1.0277719610043508,1.0281861981268974
2025-03-03,2891.07,1.0069099305872398,0.006909930587239666,1.0348737939144022,1.035096128714137
2025-03-04,2914.45,1.0080869712597758,0.008086971259775672,1.0432427885432831,1.0431830999739127
2025-03-05,2918.22,1.0012935545300143,0.0012935545300142332,1.044592279978308,1.0444766545039268
2025-03-06,2910.4,0.9973202842828849,-0.002679715717115128,1.0417930696276732,1.0417969387868118
2025-03-07,2909.9,0.999828202308961,-0.00017179769103903243,1.0416140919837706,1.0416251410957726
2025-03-09,2916.3,1.0021993882951306,0.002199388295130448,1.0439050058257229,1.0438245293909032
2025-03-10,2884.6,0.9891300620649452,-0.010869937935054785,1.0325578232023043,1.0329545914558484
2025-03-11,2915.6,1.0107467239825279,0.010746723982527908,1.0436544371242593,1.0437013154383763
2025-03-12,2938.25,1.0077685553573879,0.007768555357387876,1.0517621243930426,1.0514698707957641
2025-03-13,2986.55,1.0164383561643837,0.016438356164383622,1.0690513647940243,1.0679082269601476
2025-03-14,2984.75,0.99939729788552,-0.0006027021144799792,1.0684070452759753,1.0673055248456678
2025-03-16,2990.07,1.0017823938353296,0.001782393835329647,1.0703113674070979,1.0690879186809974
2025-03-17,2999.83,1.0032641376288849,0.0032641376288848633,1.0738050110160746,1.0723520563098823
2025-03-18,3031.7,1.0106239353563369,0.010623935356336822,1.08521304603842,1.0829759916662192
2025-03-19,3050.18,1.0060955899330408,0.006095589933040875,1.0918280597570562,1.08907158159926
2025-03-20,3046.55,0.9988099063006118,-0.0011900936993881196,1.0905286820623241,1.087881487899872
2025-03-21,3024.0,0.992598184832023,-0.007401815167976951,1.0824567903223212,1.0804796727318948
2025-03-23,3024.9,1.0002976190476192,0.0002976190476190777,1.0827789500813458,1.080777291779514
2025-03-24,3009.95,0.9950576878574497,-0.004942312142550257,1.077427518528661,1.0758349796369637
2025-03-25,3021.07,1.003694413528464,0.003694413528464043,1.0814079813290527,1.0795293931654277
2025-03-26,3021.6,1.000175434531474,0.00017543453147386367,1.0815976976315893,1.0797048276969017
2025-03-27,3055.7,1.0112854117024093,0.011285411702409289,1.0938039729457398,1.090990239399311
2025-03-28,3085.25,1.009670451942272,0.00967045194227188,1.1043815517003777,1.1006606913415828
2025-03-30,3090.05,1.0015557896442753,0.0015557896442752392,1.1060997370818417,1.1022164809858581
2025-03-31,3122.9,1.010630895940195,0.010630895940195112,1.1178585682862359,1.1128473769260532
2025-04-01,3111.4,0.9963175253770534,-0.00368247462294662,1.1137420824764783,1.1091649023031065
2025-04-02,3146.16,1.0111718197595936,0.011171819759593676,1.12618460828058,1.1203367220627003
2025-04-03,3115.41,0.9902261804866885,-0.009773819513311466,1.1151774831805763,1.1105629025493888
2025-04-04,3038.43,0.9752905717064527,-0.024709428293547244,1.0876220851253473,1.0858534742558414
2025-04-06,3009.84,0.9905905352435305,-0.009409464756469524,1.0773881434470025,1.076444009499372
2025-04-07,2986.8,0.9923451080456104,-0.0076548919543895895,1.0691408536159752,1.0687891175449824
2025-04-08,2981.98,0.9983862327574661,-0.0016137672425338703,1.067415509128755,1.0671753503024486
2025-04-09,3080.18,1.03293113971254,0.03293113971253993,1.102566718391206,1.1001064900149884
